1	Supported. The "Sweet Dreams" episode (row 11) has a higher episode number and occurs later in the series than "The Witchfinder" episode (row 8).
2	Supported.
3	Supported. The episode "The Lady of the Lake" had the highest number of UK viewers with 6.3 million.
4	Supported. Lucy Watkins only wrote one episode in series 2 of "Merlin" which was "Sweet Dreams" (no. 10).
5	There is no information in the table about the viewership of "Beauty and the Beast" parts 1 and 2, therefore the statement cannot be verified or refuted using this table.
6	Supported. The episode "Sweet Dreams" (row 11) happened before "The Witchfinder" (row 8) in the series.
7	Supported.
8	Refuted. The episode "The Lady of the Lake" had 6.3 million viewers in the UK, which is higher than some other episodes in the series.
9	Supported. According to the table, Lucy Watkins only wrote one episode in series 2, which is titled "Sweet Dreams".
10	The statement is not related to the information provided in the table.
11	The statement is not supported by the table as it does not provide information on the number of goals scored by each player.
12	The statement is not directly supported or refuted by the information provided in the table as it does not explicitly show the number of goals scored by Jonathan Legear and Matias Suarez in the Belgian Cup.
13	Supported. Jonathan Legear scored 5 goals in the league and 2 goals in the title playoff for a total of 7 goals, while the other three players (Boussoufa, De Sutter, Gillet) scored a total of 20 goals. Therefore, Legear scored more goals than the other players combined. However, it should be noted that the statement only refers to the Belgian Cup, and the table does not provide information on how many goals were scored by each player in that competition.
14	Refuted. While Guillaume Gillet had the highest number of goals in the league with 8, he did not score three times as much as each of the other two players (Mbark Boussoufa and Tom De Sutter) as they only scored 11 and 9 goals respectively, which is not three times less than 8.
15	Supported. Matias Suarez, the top scorer, has 3 goals while Mbark Boussoufa has 11 goals, which is 8 more than Suarez.
16	The statement is not directly supported by the information provided in the table. While it is possible that the four players who scored three goals total are in league 5, this cannot be confirmed as the table only displays the number of goals scored by each player in different competitions and not their league division.
17	The statement is unsupported by the information provided in the table since there is no data on the number of goals scored by Matias Suarez in the Belgian Cup.
18	The statement is supported. Lucas Biglia scored 3 goals in the 2008-09 season, while the other three players who played in the Belgian Cup (Matías Suárez, Oleksandr Iakovenko, and Hernán Losada) did not score any, thus meaning that he scored more goals than the other players combined.
